Item,Link,Type
Mexico,http://datos.gob.mx/,International Country
Canada,https://search.open.canada.ca/en/od/?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-portal=Open%20Data&_ga=2.10238513.52197646.1601047586-517990023.1601047586,International Country
Costa Rica,,International Country
Peru,http://www.datosperu.org/,International Country
Colombia,https://www.datos.gov.co/browse?sortBy=newest&utf8=%E2%9C%93,International Country
Chile,http://datos.gob.cl/dataset,International Country
Argentina,https://datos.gob.ar/,International Country
Trinidad and Tobago,http://data.gov.tt/,International Country
Uruguay,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/datos-y-estadisticas/datos-abiertos,International Country
Brazil,http://dados.gov.br/,International Country
Sierra Leone,https://www.opendatasl.gov.sl/search/type/dataset,International Country
Morocco,https://morocco.opendataforafrica.org/data/#menu=topic,International Country
Portugal,http://www.dados.gov.pt/pt/inicio/inicio.aspx,International Country
Ireland,https://data.gov.ie/,International Country
Spain,https://datos.gob.es/es/catalogo,International Country
France,https://www.data.gouv.fr/fr/dashboard/,International Country
United Kingdom,http://data.gov.uk/,International Country
Ghana,https://ghana.opendataforafrica.org/,International Country
Belgium,https://data.gov.be/en/search/datasets,International Country
Netherlands,http://data.overheid.nl/,International Country
Tunisia,https://oecd-opsi.org/innovations/national-open-data-portal-of-tunisia/,International Country
Denmark,https://www.opendata.dk/search,International Country
Germany,https://www.govdata.de/web/guest/daten,International Country
Italy,https://www.dati.gov.it/view-dataset,International Country
Austria,http://data.gv.at/,International Country
Norway,https://data.norge.no/datasets,International Country
Sweden,https://www.dataportal.se/en/datasets?p=1&q=&s=2&t=20&f=,International Country
Slovakia,https://data.gov.sk/dataset,International Country
Greece,http://geodata.gov.gr/group,International Country
Romania,http://data.gov.ro/,International Country
South Africa,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/central,International Country
Estonia,http://pub.stat.ee/px-web.2001/Dialog/statfile1.asp,International Country
Finland,https://www.avoindata.fi/en,International Country
Moldova,http://data.gov.md/,International Country
Ukraine,https://data.gov.ua/dataset,International Country
Tanzania,https://tanzania.opendataforafrica.org/,International Country
Kenya,https://www.opendata.go.ke/,International Country
Saudi Arabia,http://www.data.gov.sa/,International Country
Bahrain,http://www.bahrain.bh/wps/portal/data/,International Country
United Arab Emirates,http://opendata.nbs.gov.ae/,International Country
Oman,http://www.oman.om/opendata,International Country
India,http://data.gov.in/,International Country
Russia,http://opengovdata.ru/,International Country
Singapore,http://data.gov.sg/,International Country
China,http://www.stats.gov.cn/english/,International Country
Hong Kong,http://www.gov.hk/en/theme/psi/datasets/,International Country
Indonesia,https://data.go.id/,International Country
Philippines,http://data.gov.ph/,International Country
Timor-Leste,http://www.transparency.gov.tl/,International Country
Dem. Rep. Korea,http://www.data.go.kr/,International Country
Australia,http://data.gov.au/,International Country
Japan,https://www.data.go.jp/,International Country
New Zealand,http://www.data.govt.nz/,International Country
British Columbia,http://www.data.gov.bc.ca/,International Regional
Nanaimo,http://www.nanaimo.ca/datafeeds,International Regional
Saanich,http://www.saanich.ca/data/catalogue/index.php,International Regional
British Columbia Local Government,http://www.civicinfo.bc.ca/,International Regional
Vancouver,http://data.vancouver.ca/,International Regional
District of North Vancouver,http://geoweb.dnv.org/data/,International Regional
Prince George,http://princegeorge.ca/cityservices/online/odc/Pages/Documents.aspx,International Regional
